name,shape,OD_in,tdes_in,A_in2,mass_lbft,I_in4,S_in3,Z_in3,r_in
HSS3.500X0.216,CHS,3.500,0.201,2.083,7.09,2.84,1.625,2.190,1.1685
HSS4.000X0.226,CHS,4.000,0.210,2.500,8.51,4.50,2.252,3.020,1.3420
HSS4.500X0.237,CHS,4.500,0.220,2.958,10.07,6.79,3.018,4.034,1.5152
HSS5.000X0.250,CHS,5.000,0.233,3.489,11.87,9.94,3.974,5.299,1.6874
HSS5.563X0.258,CHS,5.563,0.240,4.013,13.66,14.24,5.121,6.805,1.8839
HSS6.625X0.280,CHS,6.625,0.260,5.199,17.69,26.37,7.962,10.539,2.2522
HSS8.625X0.322,CHS,8.625,0.300,7.846,26.70,68.06,15.782,20.801,2.9452
HSS10.000X0.250,CHS,10.000,0.233,7.149,24.33,85.30,17.060,22.231,3.4541
PIPE3STD,CHS,3.500,0.201,2.083,7.09,2.84,1.625,2.190,1.1685
PIPE4STD,CHS,4.500,0.226,3.035,10.33,6.95,3.088,4.132,1.5132
PIPE5STD,CHS,5.563,0.234,3.918,13.33,13.93,5.009,6.649,1.8859
PIPE6STD,CHS,6.625,0.245,4.911,16.71,25.02,7.554,9.977,2.2573
PIPE8STD,CHS,8.625,0.300,7.846,26.70,68.06,15.782,20.801,2.9452
PIPE4XS,CHS,4.500,0.318,4.178,14.22,9.19,4.083,5.572,1.4828
PIPE6XS,CHS,6.625,0.403,7.877,26.81,38.28,11.556,15.623,2.2044
